Date,Region,Industry,Value
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.8
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,2.1
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,2.0
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.6
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.2
2010-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.3
2011-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.2
2012-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.0
2013-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.0
2014-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",22 - Utilities,1.3
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.47869901
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.7508482
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.92700802
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,11.51569945
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,11.32967867
2010-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,11.6594412
2011-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.39353322
2012-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.3070273
2013-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.19455579
2014-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",23 - Construction,10.0707622
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,129.6888698
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,135.0252552
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,140.8813943
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,136.6046831
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,114.1091294
2010-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,94.38935188
2011-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,87.46462032
2012-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,88.72521259
2013-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,88.79090111
2014-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31-33 - Manufacturing,97.32410599
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,81.33789781
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,82.57508484
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,81.49284632
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,80.01946872
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,73.85719583
2010-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,68.71229151
2011-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,68.99071463
2012-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,69.48381594
2013-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,69.6816502
2014-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42 - Wholesale Trade,69.66064911
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,150.1562782
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,151.0920199
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,155.7814989
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,156.062604
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,148.6332189
2010-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,139.317849
2011-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,138.7524793
2012-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,140.7846256
2013-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,141.4619594
2014-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44-45 - Retail Trade,144.7238626
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,255.8942194
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,270.6539418
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,283.2035022
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,279.8132577
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,258.9274283
2010-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,249.0788449
2011-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,250.8373331
2012-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,258.4110563
2013-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,261.4011847
2014-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48-49 - Transportation and Warehousing,270.5106215
2005-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",51 - Information,99.97066668
2006-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",51 - Information,103.7894698
2007-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",51 - Information,107.8179002
2008-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",51 - Information,109.3722554
2009-01-01,"Atlanta-Sandy Springs-Roswell, GA Metro Area",51 - Information,105.8973021
