hpi_type,hpi_flavor,frequency,level,metro,place_id,yr,period,index_nsa,hpi,date,hpi_growth,hpi_growth_pct
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2005,1,137.43,NA,2005-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2005,2,142.33,NA,2005-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2005,3,142.9,NA,2005-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2005,4,145.24,NA,2005-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2006,1,150.91,NA,2006-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2006,2,151.58,NA,2006-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2006,3,155.58,NA,2006-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2006,4,157.78,NA,2006-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2007,1,162.44,NA,2007-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2007,2,164.07,NA,2007-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2007,3,163.16,NA,2007-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2007,4,163.6,NA,2007-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2008,1,165.63,NA,2008-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2008,2,165,NA,2008-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2008,3,166.18,NA,2008-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2008,4,169.48,NA,2008-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2009,1,170.53,NA,2009-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2009,2,169.91,NA,2009-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2009,3,170.32,NA,2009-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2009,4,170.16,NA,2009-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2010,1,170.9,NA,2010-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2010,2,169.25,NA,2010-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2010,3,171.24,NA,2010-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2010,4,170.19,NA,2010-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2011,1,168.62,NA,2011-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2011,2,167.6,NA,2011-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2011,3,169.47,NA,2011-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2011,4,167.86,NA,2011-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2012,1,168.72,NA,2012-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2012,2,170.49,NA,2012-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2012,3,174.26,NA,2012-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2012,4,171.04,NA,2012-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2013,1,173.42,NA,2013-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2013,2,174.15,NA,2013-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2013,3,178.81,NA,2013-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2013,4,182.61,NA,2013-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2014,1,183.14,NA,2014-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2014,2,186.02,NA,2014-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2014,3,188.59,NA,2014-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Abilene, TX",10180,2014,4,189.82,NA,2014-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2005,1,148.91,NA,2005-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2005,2,150.06,NA,2005-02-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2005,3,151.61,NA,2005-03-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2005,4,152.01,NA,2005-04-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2006,1,152.64,NA,2006-01-01,NA,NA
traditional,all-transactions,quarterly,MSA,"Akron, OH",10420,2006,2,149.96,NA,2006-02-01,NA,NA
